<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140101,000000,8.2300000,8.2300000,8.2300000,8.2300000,21
20140102,000000,8.2300000,8.2300000,8.2300000,8.2300000,99
20140103,000000,8.2300000,8.2300000,8.2200000,8.2200000,127
20140104,000000,8.2200000,8.2200000,8.2200000,8.2200000,19
20140106,000000,8.2200000,8.2200000,8.2200000,8.2200000,92
20140107,000000,8.2200000,8.2200000,8.2200000,8.2200000,160
20140108,000000,8.2200000,8.2320000,8.2200000,8.2320000,165
20140109,000000,8.2320000,8.2320000,8.2320000,8.2320000,93
20140110,000000,8.2320000,8.2800000,8.2320000,8.2800000,71
20140111,000000,8.2800000,8.2800000,8.2800000,8.2800000,23
20140112,000000,8.2800000,8.2800000,8.2800000,8.2800000,8
20140113,000000,8.2800000,8.3100000,8.2800000,8.3100000,86
20140114,000000,8.3100000,8.3120000,8.3100000,8.3120000,141
20140115,000000,8.3120000,8.3250000,8.3120000,8.3250000,131
20140116,000000,8.3250000,8.3350000,8.3250000,8.3350000,163
20140117,000000,8.3350000,8.3650000,8.3350000,8.3650000,133
20140118,000000,8.3650000,8.3650000,8.3650000,8.3650000,17
20140120,000000,8.3650000,8.3700000,8.3650000,8.3700000,120
20140121,000000,8.3700000,8.3950000,8.3700000,8.3950000,97
20140122,000000,8.3950000,8.4000000,8.3590000,8.3590000,121
20140123,000000,8.3590000,8.4300000,8.3590000,8.4300000,151
20140124,000000,8.4300000,8.4700000,8.4300000,8.4700000,93
20140125,000000,8.4700000,8.4700000,8.4700000,8.4700000,17
20140127,000000,8.4700000,8.4800000,8.4700000,8.4800000,90
20140128,000000,8.4800000,8.5000000,8.4800000,8.5000000,169
20140129,000000,8.5000000,8.5000000,8.4600000,8.4600000,193
20140130,000000,8.4600000,8.4600000,8.4000000,8.4000000,179
20140131,000000,8.4000000,8.6100000,8.4000000,8.6100000,155
20140201,000000,8.6100000,8.6100000,8.6100000,8.6100000,17
20140202,000000,8.6100000,8.6100000,8.6100000,8.6100000,4
20140203,000000,8.6100000,8.6500000,8.6100000,8.6500000,114
20140204,000000,8.6500000,8.7500000,8.6500000,8.7500000,85
20140205,000000,8.7500000,8.7500000,8.7500000,8.7500000,89
20140206,000000,8.7500000,8.8100000,8.7500000,8.8100000,79
20140207,000000,8.8100000,8.8100000,8.5300000,8.5300000,29
20140209,000000,8.5300000,8.5300000,8.5300000,8.5300000,0
20140212,000000,8.6950000,8.6950000,8.6495000,8.6495000,0
20140213,000000,8.7800000,8.7800000,8.7800000,8.7800000,0
20140214,000000,8.7700000,8.7700000,8.7700000,8.7700000,0
20140217,000000,8.7700000,8.8400000,8.7700000,8.8400000,0
20140219,000000,8.9000000,8.9000000,8.9000000,8.9000000,0
20140223,000000,8.9000000,8.9000000,8.9000000,8.9000000,0
20140225,000000,9.7000000,9.7000000,9.7000000,9.7000000,0
20140226,000000,9.7000000,10.0000000,9.7000000,10.0000000,0
20140227,000000,11.0000000,11.0000000,9.9800000,9.9800000,0
20140228,000000,9.7000000,9.7000000,9.7000000,9.7000000,0
20140303,000000,9.7000000,9.7000000,9.6990000,9.6990000,0
20140305,000000,9.7240000,9.7240000,9.7240000,9.7240000,0
20140309,000000,9.3878000,9.3878000,9.3878000,9.3878000,0
20140310,000000,9.2355000,9.2355000,9.2355000,9.2355000,0
20140311,000000,9.2358000,9.2358000,9.2358000,9.2358000,0
20140313,000000,9.2975000,9.2975000,9.2975000,9.2975000,0
20140314,000000,9.4755000,9.4755000,9.4755000,9.4755000,0
20140317,000000,9.4755000,9.4755000,9.4755000,9.4755000,0
20140318,000000,9.7565000,9.7565000,9.7565000,9.7565000,0
20140319,000000,10.1500000,10.1500000,10.1350000,10.1350000,0
20140320,000000,10.3300000,10.3300000,10.3300000,10.3300000,0
20140321,000000,10.3400000,10.5200000,10.3400000,10.5200000,0
20140324,000000,10.5200000,10.6000000,10.5200000,10.5500000,0
20140325,000000,10.9400000,10.9400000,10.9300000,10.9300000,0
20140326,000000,11.1000000,11.1000000,11.0850000,11.0850000,0
20140327,000000,11.0400000,11.0400000,11.0400000,11.0400000,0
20140328,000000,11.0000000,11.0000000,11.0000000,11.0000000,0
20140330,000000,11.0400000,11.0400000,11.0400000,11.0400000,0
20140331,000000,11.3500000,11.3500000,11.3500000,11.3500000,0
20140401,000000,11.0000000,11.0000000,10.9980000,10.9980000,0
20140402,000000,11.3200000,11.3200000,11.3200000,11.3200000,0
20140403,000000,11.3200000,11.4000000,11.2515000,11.4000000,0
20140404,000000,11.6011000,11.6011000,11.5700000,11.6010000,0
